"LAKE_ID","WATER","basin","PIdrinking","PIrecreation","PIaquatic","eutrophic","mesotrophic","oligotrophic","PWS","Beaches","Classification","ACRES","PWLID","hypo","yrs","CSLAPin2018"
"0906PLE0006","Pleasant Lake","09",0,0,0,0,3,1,NA,"No","B",207.7,"0906-0035","yes",1,NA
"0906RED0010","Red Lake","09",0,0,0,0,3,0,NA,"No","C",360.6,"0906-0039","yes",1,NA
"0906SIX0056","Sixberry Lake","09",0,0,1,1,10,147,NA,"No","B",123.8,"0906-0065","yes",7,"yes"
"1401ANA0251","Lake Anawanda","14",0,0,5,1,68,314,NA,"No","BT",40.2,"1401-0129","yes",17,"yes"
"1401BLA0103","Black Lake","14",0,6,0,17,3,0,NA,"No","B",233.3,"1401-0050","yes",2,NA
"1401BOD0185","Bodine Lake","14",0,10,0,14,6,0,NA,"No","B",19.5,"1401-0091","yes",2,NA
"1401BRI0241","Briscoe Lake","14",0,0,0,5,0,0,NA,"No","B",64.9,"1401-0014",NA,NA,NA
"1401BUR0082","Burnt Hope Lake","14",0,0,0,0,4,0,NA,"Yes","B",44.6,"1401-0031",NA,1,NA
"1401CLI0100","Cliff Lake","14",0,0,0,3,17,0,NA,"No","C",158.4,"1401-0045","yes",2,NA
"1401CRY0197","Crystal Lake","14",0,0,5,4,14,0,NA,"Yes","B",151.5,"1401-0097","yes",2,NA
"1401CRY0260","Crystal Lake","14",0,14,0,20,0,0,NA,"No","BTS",36.4,"1401-0134",NA,1,NA
"1401DAV0209","Davis Pond","14",0,0,0,0,4,0,NA,"No","B",46.4,"1401-0106",NA,1,NA
"1401DEV0174","Lake Devenoge","14",0,0,0,0,47,36,NA,"No","B",71.9,"1401-0080","yes",4,"yes"
"1401FOX0192","Fox Lake","14",0,0,1,0,3,1,NA,"No","B",26.8,"1401-0093","yes",1,NA
"1401HAL0193","Halfmoon Lake","14",0,0,1,1,3,0,NA,"No","B",30.7,"1401-0093",NA,1,NA
"1401HIG0179","Highland Lake","14",0,0,0,3,1,0,NA,"Yes","B",203.9,"1401-0085","yes",1,NA
"1401HUN0216","Lake Huntington","14",0,2,6,7,6,0,NA,"Yes","BT",80.1,"1401-0008","yes",1,NA
"1401IND0102","Indian Field Pond","14",0,0,0,0,4,0,NA,"No","B",81.9,"1401-0049","yes",1,NA
"1401KEN0232","Kenoza Lake","14",0,7,0,18,1,0,NA,"No","B",86.5,"1401-0120","yes",2,NA
"1401LUX0212","Luxton Lake","14",0,1,0,1,0,0,NA,"No","B",124.8,"1401-0110",NA,NA,NA
"1401MAH0208","Mahls Pond","14",0,0,1,3,1,0,NA,"No","B",18.2,"1401-0106",NA,1,NA
"1401MON0096A","Mongaup Falls Reservoir","14",0,0,0,1,4,0,NA,"No","B",99.8,"1401-0075",NA,1,NA
"1401MON0186","Montgomery Lake","14",0,7,1,24,72,20,NA,"No","B",19.6,"1401-0091",NA,5,"yes"
"1401NIA0211A","Lake Nianque","14",0,0,0,0,4,0,NA,"Yes","B",28.9,"1401-0105",NA,1,NA
"1401RIO0079A","Rio Reservoir","14",0,0,0,13,10,0,NA,"Yes","BT",424.2,"1401-0074","yes",2,NA
"1401ROC0207","Rock Lake","14",0,0,0,0,2,1,NA,"No","B",39.4,"1401-0106","yes",1,NA
"1401SAC0111","Sackett Lake","14",0,4,0,8,10,0,NA,"Yes","B",126,"1401-0056","yes",2,NA
"1401SAN0176","Sand Pond","14",0,0,0,0,2,1,NA,"No","B",112.3,"1401-0083","yes",1,NA
"1401SAN0267","Sand Pond","14",0,3,0,8,9,3,NA,"Yes","B",47.1,"1401-0140","yes",2,NA
"1401SOM0268","Somerset Lake","14",0,3,3,6,191,178,NA,"No","B",58,"1401-0141","yes",16,"yes"
"1401STJ0096","St Josephs Lake","14",0,0,2,4,8,1,NA,"No","B",237.5,"1401-0039",NA,1,NA
"1401STU0245","Weiden Pond Lake","14",0,94,10,200,47,26,NA,"No","BT",22.6,"1401-0124",NA,13,"yes"
"1401SUP0104","lawson lake","14",0,3,5,24,12,0,NA,"Yes","B",186.4,"1401-0051","yes",2,NA
"1401SWA0128","Swan Lake","14",0,8,0,28,3,0,NA,"No","BT",328.4,"1401-0063","yes",3,NA
"1401SWA0211","Swamp Pond","14",0,1,0,2,2,0,NA,"No","B",62.1,"1401-0107",NA,1,NA
"1401SWI0108A","Swinging Bridge Reservoir","14",0,1,2,2,9,0,NA,"No","B",888.9,"1401-0002","yes",1,NA
"1401TOR0100A","Toronto Reservoir","14",0,0,0,0,4,0,NA,"No","C",835.1,"1401-0046",NA,1,NA
"1401TRO0196","Trout Pond","14",0,1,5,6,4,0,NA,"No","B",16.8,"1401-0096",NA,1,NA
"1401TUR0190","Turnpike Pond","14",0,0,0,2,2,0,NA,"No","B",47.6,"1401-0093",NA,1,NA
"1401UWB5217","Unnamed Water","14",0,1,0,1,0,0,NA,"No","B",1.5,"",NA,NA,NA
"1401WEL0195","Welmet Lake","14",0,1,1,4,0,0,NA,"Yes","B",31.6,"1401-0095",NA,1,NA
"1401WHI0117","White Lake","14",0,2,0,5,10,4,NA,"Yes","BTS",280.1,"","yes",3,NA
"1401YOR0203","York Lake","14",0,0,0,0,4,0,NA,"No","B",100.6,"1401-0099","yes",1,NA
"1402DAV0038C","Davies Lake","14",0,1,0,8,0,0,NA,"No","B",27.8,"1402-0047",NA,2,NA
"1402ECH0047","Echo Lake","14",0,0,0,3,1,0,NA,"No","B",71.7,"1402-0056","yes",1,NA
"1402EVE0050A","Evens Lake","14",0,5,8,14,0,0,NA,"No","B",29.8,"1402-0004",NA,1,NA
