"LAKE_ID","WATER","html","X_Coordinate","Y_Coordinate"
"1302BLU0122A","Blue Heron Lake","report_Blue Heron Lake(1302BLU0122A).html",-73.592201,41.191601
"1302CAR0062A","Lake Carmel","report_Lake Carmel(1302CAR0062A).html",-73.66798,41.449264
"1302CAS0059B","Lake Casse","report_Lake Casse(1302CAS0059B).html",-73.709999,41.386299
"1302CHI0075","China Pond","report_China Pond(1302CHI0075).html",-73.7435,41.441898
"1302HOW0127","Bedford Lake","report_Bedford Lake(1302HOW0127).html",-73.705361,41.196269
"1302JOHXXX1","John Jay Homestead Historic Site Pond","report_John Jay Homestead Historic Site Pond(1302JOHXXX1).html",-73.656598,41.251382
"1302KAT0107A","Lake Katonah","report_Lake Katonah(1302KAT0107A).html",-73.654999,41.285301
"1302KIR0052","Kirk Lake","report_Kirk Lake(1302KIR0052).html",-73.757729,41.379867
"1302KIT0114","Lake Kitchawan","report_Lake Kitchawan(1302KIT0114).html",-73.549004,41.2435
"1302LIN0057A","Lake Lincolndale","report_Lake Lincolndale(1302LIN0057A).html",-73.725971,41.34278
"1302MAH0053","Lake Mahopac","report_Lake Mahopac(1302MAH0053).html",-73.739403,41.380501
"1302NIM0076E","Lake Nimham","report_Lake Nimham(1302NIM0076E).html",-73.732101,41.4776
"1302OSC0118","Lake Oscaleta","report_Lake Oscaleta(1302OSC0118).html",-73.561401,41.296501
"1302PAL0061A","Palmer Lake","report_Palmer Lake(1302PAL0061A).html",-73.676779,41.443376
"1302PEA0093","Peach Lake","report_Peach Lake(1302PEA0093).html",-73.580002,41.362999
"1302PUT0093B","Putnam Lake","report_Putnam Lake(1302PUT0093B).html",-73.543041,41.464478
"1302RIP0119","Lake Rippowam","report_Lake Rippowam(1302RIP0119).html",-73.562798,41.300098
"1302SAG0076J","Sagamore Lake","report_Sagamore Lake(1302SAG0076J).html",-73.780899,41.473202
"1302SHA0128J","Shadow Lake","report_Shadow Lake(1302SHA0128J).html",-73.819199,41.208198
"1302SHE0050A","Lake Shenorock","report_Lake Shenorock(1302SHE0050A).html",-73.740601,41.328098
"1302TON0085","Lake Tonetta","report_Lake Tonetta(1302TON0085).html",-73.611045,41.421081
"1302TRU0115A","Truesdale Lake","report_Truesdale Lake(1302TRU0115A).html",-73.553398,41.2817
"1302UWB0044H","Timber Lake","report_Timber Lake(1302UWB0044H).html",-73.663101,41.2939
"1302UWB0089F","Gossamans Pond","report_Gossamans Pond(1302UWB0089F).html",-73.644897,41.5238
"1302UWB0128A","Teatown Lake","report_Teatown Lake(1302UWB0128A).html",-73.831398,41.2118
"1302UWB5115","Plum Brook Lake","report_Plum Brook Lake(1302UWB5115).html",-73.704102,41.311798
"1302WAC0117","Lake Waccabuc","report_Lake Waccabuc(1302WAC0117).html",-73.584099,41.297699
"1302WHI0079","White Pond","report_White Pond(1302WHI0079).html",-73.7258,41.4992
"1303BEA0234","Beaver Dam Lake ","report_Beaver Dam Lake (1303BEA0234).html",-74.117646,41.438442
"1303BRO0226A","Brown's Pond","report_Brown's Pond(1303BRO0226A).html",-74.0893,41.47706
"1303GOSXXX1","Goshen Reservoir","report_Goshen Reservoir(1303GOSXXX1).html",-74.330145,41.380637
"1303ORA0239D","Orange-Rockland Lakes","report_Orange-Rockland Lakes(1303ORA0239D).html",-74.19321,41.34381
"1303TOM0240D","Tomahawk Lake","report_Tomahawk Lake(1303TOM0240D).html",-74.223396,41.409199
"1303UWB0320B","Unnamed Water","report_Unnamed Water(1303UWB0320B).html",-74.290298,41.318298
