LakeID,Y_Coordinate,X_Coordinate
0503BAX5187,42.0022,-77.2436
1702BAX0124,40.8338,-73.6977
0801BEA0624,43.8124,-75.2698
1304BEA0345,41.4864,-73.9407
1304BEA0345A,41.4904,-73.8826
1404BEA0401,42.2019,-75.3789
1403BEA5572,42.1233,-75.0594
1202BEA0596,42.5941,-74.5945
0202BEA0131,42.3468,-79.3839
0905BEA0134,44.1585,-75.1611
0801BEA0968,43.5988,-75.0549
1203BEA0881,43.4744,-74.7084
0801BEA0459,43.9201,-75.1176
0905BEA0196,43.9567,-75.0057
0801BEA0880,43.7086,-74.7003
0903BEA0117,44.0684,-74.6656
0903BEA0303,43.8032,-74.5583
0902BEA0231,44.4511,-74.4235
0902BEA0271,44.3991,-74.2874
1104BEA0510,43.4954,-73.9158
1005BEA0439,43.3941,-73.6757
1005BEA0353,43.8658,-73.5781
1301BEA5051,41.1436,-73.7704
1601BEA1116D,41.6650,-73.6074
0601BEA0359,42.6884,-74.6804
0602BEA0107C,42.6436,-75.6972
1401BEA0184A,41.5299,-74.9347
1309BEA0934A,42.3925,-73.8959
1104BEA0699A,43.9967,-74.0730
0104BEA0133,42.4472,-78.3966
0601BEA0174,42.0455,-75.6657
0905BEA0252,44.2461,-75.2708
0801BEA0449,43.8732,-75.1581
0801BEA0849,43.6494,-74.7421
1402BEA5057,41.6327,-74.5719
1306BEA0789,41.8887,-74.2580
1702BEA0150A,40.8851,-73.5655
0801BEA5185,43.8714,-75.1864
1403BEA0277,42.0307,-75.2050
0103UWB5480,42.6739,-78.3813
1104BEA0348,43.7488,-73.7174
0501BEA0016B,42.1555,-76.7241
0603BEA5029,42.3248,-76.6157
0602BEA5495,42.4138,-76.1214
1404BEA5486,42.1420,-75.5054
0906BEA0047B,44.0189,-75.4739
0801BEA0730,43.7044,-75.0275
1401BEA5296,41.6296,-75.0081
1401BEA5568,41.5371,-74.8309
0904BEA0362,44.3293,-74.8030
1203BEA0915,43.5555,-74.6863
1104BEA0671,43.6298,-74.5568
0903BEA0204,44.2126,-74.1699
1104BEA0699B,44.0251,-74.1026
1104BEA5358,43.5003,-73.7273
1310BEA0047,42.3075,-73.5298
1310BEA6759,42.4977,-73.3575
1104BEA0620,43.8512,-74.1524
1104BEA0621,43.8561,-74.1460
0601BEA0310,42.4772,-74.8348
0902BEA0201,44.4930,-74.2527
1303BEA0234,41.4420,-74.1159
0801BEA0530,43.9701,-74.8967
0801BEA0824,43.6999,-74.8500
1203BEA0873,43.4756,-74.7745
1401BEA0031,41.5006,-74.6708
1306BEA0818,41.8106,-74.5379
1701BEA0837,40.8241,-72.6610
1202BEC0606,42.5747,-74.1876
0705BEE0308,42.4512,-76.4763
1601BEE1138,42.3943,-73.4166
1403BEE0348,42.0431,-74.6308
