row,LAKE_ID,WATER,X_Coordinate,Y_Coordinate,link,availability
75,0301BUC0153,Buck Pond,-77.66383,43.28151,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Buck%20Pond(0301BUC0153).html?csf=1&e=Xxz1fg,available
76,0301CRA0155,Cranberry Pond,-77.69811,43.3013,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Cranberry%20Pond(0301CRA0155).html?csf=1&e=Xxz1fg,available
77,0301GLE0167,Glenwood Lake,-78.3897,43.23428,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Glenwood%20Lake(0301GLE0167).html?csf=1&e=Xxz1fg,available
79,0301JDSXXX1,"Joe Davis Park Pond, Southeast",-79.03448,43.21349,"https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Joe%20Davis%20Park%20Pond,%20Southeast(0301JDSXXX1).html?csf=1&e=Xxz1fg",available
80,0301LON0154,Long Pond,-77.68576,43.29287,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Long%20Pond(0301LON0154).html?csf=1&e=Xxz1fg,available
81,0302BLI0077,Blind Sodus Bay,-76.7283,43.3383,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Blind%20Sodus%20Bay(0302BLI0077).html?csf=1&e=Xxz1fg,available
82,0302DUR0148A,Durand Lake,-77.5576,43.2333,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Durand%20Lake(0302DUR0148A).html?csf=1&e=Xxz1fg,available
83,0302EAS0093,East Bay,-76.89168,43.29329,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_East%20Bay(0302EAS0093).html?csf=1&e=Xxz1fg,available
84,0302EAS0148E,Eastman Lake,-77.55929,43.23576,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Eastman%20Lake(0302EAS0148E).html?csf=1&e=Xxz1fg,available
85,0302HUN0143,Hundred Acre Pond,-77.5645,43.0291,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hundred%20Acre%20Pond(0302HUN0143).html?csf=1&e=Xxz1fg,available
86,0302IRO0113,Irondequoit Bay,-77.53515,43.21774,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Irondequoit%20Bay(0302IRO0113).html?csf=1&e=Xxz1fg,available
87,0302JUN0068,Juniper Pond,-76.6704,43.3636,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Juniper%20Pond(0302JUN0068).html?csf=1&e=Xxz1fg,available
88,0302LAC0132,Lake Lacoma,-77.4794,43.0509,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lake%20Lacoma(0302LAC0132).html?csf=1&e=Xxz1fg,available
89,0302LSO0076,Little Sodus Bay,-76.7033,43.33987,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Little%20Sodus%20Bay(0302LSO0076).html?csf=1&e=Xxz1fg,available
90,0302POR0089,Port Bay,-76.8321,43.2976,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Port%20Bay(0302POR0089).html?csf=1&e=Xxz1fg,available
91,0302SOD0096,Sodus Bay,-76.9282,43.23364,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Sodus%20Bay(0302SOD0096).html?csf=1&e=Xxz1fg,available
92,0302THE0069,The Pond,-76.69832,43.34272,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_The%20Pond(0302THE0069).html?csf=1&e=Xxz1fg,available
93,0303FLO1030C,Floodwood Pond,-76.19781,43.72291,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Floodwood%20Pond(0303FLO1030C).html?csf=1&e=Xxz1fg,available
94,0303GOO1037B,Goose Pond,-76.20152,43.71801,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Goose%20Pond(0303GOO1037B).html?csf=1&e=Xxz1fg,available
95,0303HYD0391,Hyde Lake,-75.8332,44.2436,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Hyde%20Lake(0303HYD0391).html?csf=1&e=Xxz1fg,available
96,0303LAK1031,Lakeview Pond,-76.20641,43.75063,https://nysemail.sharepoint.com/:u:/r/sites/DEC/DOW/BWAM/LCI/Shared%20Documents/Lake.Reports/report_Lakeview%20Pond(0303LAK1031).html?csf=1&e=Xxz1fg,available
