LakeNum,LakeName,County,Town,LakeID,Y_Coordinate,X_Coordinate,Field4,Field5,Y_Coordinate_1,X_Coordinate_1,Field8,DEC_Region
,Glenwood Lake,Orleans,Medina,0301GLE0167,43.2334,-78.3891,,,,,,
,Goodhue Lake,Steuben,Addison,0503GOO0027,42.1824,-77.2709,,,,,,
,Goodluck Lake,Hamilton,,1104GOO0265,43.2485,-74.542,,,,,,
9,Goodnow Flow,Essex,Newcomb,1104GOO0672A,43.918,-74.2159,,,,,,
35,Gorton Lake,Madison,North Brookfield,0602GOR0136,42.8596,-75.3517,,,,,,
,Goshen Reservoir,Orange,Goshen,1303GOSXXX1,41.3806,-74.3301,,,,,,
185,Gossamans Pond,Dutchess,Pawling,1302UWB0089F,41.5238,-73.6449,,,,,,
196,Grass Lake,St. Lawrence,Rossie,0906GRA0051,44.34,-75.7152,,,,,,
,Great Sacandaga Lake,Fulton,Broadalbin,1104UWB5257,43.0944,-74.1593,,,,,,
,Green Lake,Onondaga,Manlius,0703GRE0147,43.0504,-75.9664,,,,,,
,Green Pond,Onondaga,Lysander ,0701GRE5021,43.2041,-76.3351,,,,,,
194,Guilford Lake,Chenango,Guilford,0601GUI0188,42.4129,-75.4994,,,,,,
111,Gull Pond,Franklin,Altamont,0903GUL0087,44.2101,-74.5273,,,,,,
126,Hadlock Pond,Washington,Fort Ann,1005HAD0432,43.4237,-73.572,,,,,,
,Hampton Manor Lake,Rensselaer,Rensselaer,1301HAM0297,42.617,-73.7264,,,,,,
,Harlem Meer,New York,New York City,1301HAR1036,40.7961,-73.9512,,,,,,
,Harris Lake,Essex,Newcomb,1104HAR0680,43.9744,-74.1419,,,,,,
,Harwood Lake,Cattaraugus,Franklinville,0201HAR0110A,42.383,-78.3804,,,,,,
36,Hatch Lake,Madison,West Eaton,0602HAT0155,42.8346,-75.6778,,,,,,
70,Hedges Lake,Washington,Jackson,1103HED0089,43.1074,-73.3829,,,,,,
254,Hemlock Lake,"Livingston, Ontario","Conesus, Springwater, Canadice, Livonia",0402HEM0044,42.7058,-77.6059,,,,,,
,Henderson Lake,Essex,Newcomb,1104HEN0715,44.0921,-74.0667,,,,,,
,Hiawatha Lake,Onondaga,Syracuse,0702HIA0156,43.0258,-76.1687,,,,,,
189,Highland Lake,Orange,Wallkill,1401HIG0179,41.5294,-74.849,,,,,,
112,Hillside Lake,Dutchess,East Fishkill,1304HIL0345G,41.6176,-73.797,,,,,,
,Hinckley Reservoir,,,,,,,,,,,
,Hollister Lake,Greene,Athens,1309HOL0913,42.3095,-73.8845,,,,,,
115,Honeoye Lake,Ontario,"Richmond, Canadice",0402HON0057,42.7542,-77.5116,,,,,,
170,Horseshoe Pond,Franklin,Duane,0902HOR0078,44.6697,-74.2906,,,,,,
107,Hunt Lake,Saratoga,Corinth,1104HUN0131,43.2598,-73.905,,,,,,
156,Hyde Lake,Jefferson,Theresa,0303HYD0391,44.2436,-75.8332,,,,,,
,Ilion Reservoir Three,,,,,,,,,,,
11,Indian Lake,Franklin,Mountain View,0902IND0051,44.7164,-74.1348,,,,,,
,Indian Lake,Hamilton,"Indian Lake, Lake Pleasant",1104JER0588,43.7379,-74.2781,,,,,,
113,Indian Lake,Putnam,Putnam Valley,1301IND0167,41.3731,-73.8877,,,,,,
,Irondequoit Bay,Monroe,Webster,0302DUR0148A,43.2333,-77.5576,,,,,,
,Ithaca Reservoir,Tompkins,East Ithaca,0705ITH0340B,42.414,-76.4599,,,,,,
245,Jamesville Reservoir,Onondaga,Lafayette,0703JAM0144,42.974,-76.0691,,,,,,
147,Java Lake,Wyoming,Java,0104JAV0152,42.6313,-78.3439,,,,,,
108,Jenny Lake,Saratoga,Corinth,1104JEN0130,43.2673,-73.9128,,,,,,
14,Joe Indian Lake,St. Lawrence,Parishville,0903JOE0031,44.4847,-74.7259,,,,,,
,Junius Pond (five Junius Ponds),Seneca,Junius,0704JUN0240,42.9564,-76.9497,,,,,,
83,Kasoag Lake,Oswego,Williamstown,0703KAS0109,43.4733,-75.9249,,,,,,
207,Katonah Lake,Westchester,Lewisboro,1302KAT0107A,41.2853,-73.655,,,,,,
127,Kayuta Lake,Oneida,Forestport,0801DAV5622,43.4137,-75.186,,,,,,
,Keenan Reservoir (Glens Falls Water Supply) ,Warren,Queensbury,1101KEE0114,43.3287,-73.7578,,,,,,
128,Kellum Lake,Warren,Warrensburg,1104KELXXX1,43.5567,-73.7789,,,,,,
255,Keuka Lake,"Steuben, Yates","Milo, Barrington, Wayne, Urbana, Pulteney, Jerusalem",0705PRIXXX2,42.5372,-77.1318,,,,,,
,Kiamesha Lake,Sullivan,Thompson,1402KIA0044,41.6769,-74.6664,,,,,,
,Kibbie/Kibby Lake,Oswego,Constantia,0703KIB0042,43.2695,-75.9665,,,,,,
,Kinch Pond,Orange,Mount Hope,1306KINXXX1,41.4348,-74.5421,,,,,,
129,Kinderhook Lake,Columbia,Kinderhook,1310UWB0025,42.4543,-73.6568,,,,,,
,Kings Flow,Hamilton,Indian Lake,1104KIN0588A,43.6761,-74.2329,,,,,,
