OBJECTID *,ACRES,FIN,WATER,SHORELINE_MILES,Shape *,SHAPE.AREA,SHAPE.LEN
5269,0.6,H-320-3-P99C,New Reservoir,0.1,Polygon Z,2500.728834,225.799362
8352,10.6,H-116-1-2A-P438P,Unnamed Water,0.9,Polygon Z,43009.56048,1523.764545
8768,31.24837,H-240-82-63-9-P583,Cobleskill Reservoir,0.902682,Polygon Z,126458.1729,1452.729077
9315,61.9,H-128-P437,Chodikee Lake,1.3,Polygon Z,250420.2792,2127.565758
9833,19.5,H-171-17-P837,Kingston Rs No 1,1.6,Polygon Z,78715.25049,2545.297398
9846,1.1,H-139-13-11-4-1-P6070,Unnamed Water,0.2,Polygon Z,4339.814807,269.242252
10990,17,H-204-3-8-8-PN98C,Churchtown Reservoir,0.8,Polygon Z,68834.38063,1324.982502
12843,142.90231,SL-1-P180-4-P182,Little Simon Pond,2.601687,Polygon Z,578307.4451,4187.016926
14518,5.283817,SR-179-P295,Lower Reservoir,0.51352,Polygon Z,21382.93627,826.431884
14652,75.000543,H-391-39-1-P438-4-P442,Gooseneck Pond,2.75941,Polygon Z,303517.6439,4440.848864
15410,88.679183,SR-179-P297,Wilber Lake,2.43927,Polygon Z,358873.3569,3925.632457
